"Time","opctyngrppub01 : Actives"
2022-04-03 02:00:00,5644
2022-04-03 04:00:00,4786
2022-04-03 06:00:00,163
2022-04-03 08:00:00,173
2022-04-03 10:00:00,193
2022-04-03 12:00:00,204
2022-04-03 14:00:00,187
2022-04-03 16:00:00,191
2022-04-03 18:00:00,198
2022-04-03 20:00:00,183
2022-04-03 22:00:00,158
2022-04-04 00:00:00,1331
2022-04-04 02:00:00,5596
2022-04-04 04:00:00,4792
2022-04-04 06:00:00,184
2022-04-04 08:00:00,427
2022-04-04 10:00:00,694
2022-04-04 12:00:00,544
2022-04-04 14:00:00,483
2022-04-04 16:00:00,499
2022-04-04 18:00:00,330
2022-04-04 20:00:00,214
2022-04-04 22:00:00,173
2022-04-05 00:00:00,1345
2022-04-05 02:00:00,5640
2022-04-05 04:00:00,4824
2022-04-05 06:00:00,194
2022-04-05 08:00:00,402
2022-04-05 10:00:00,681
2022-04-05 12:00:00,502
2022-04-05 14:00:00,470
2022-04-05 16:00:00,522
2022-04-05 18:00:00,346
2022-04-05 20:00:00,274
2022-04-05 22:00:00,182
2022-04-06 00:00:00,1347
2022-04-06 02:00:00,5676
2022-04-06 04:00:00,4845
2022-04-06 06:00:00,193
2022-04-06 08:00:00,382
2022-04-06 10:00:00,619
2022-04-06 12:00:00,493
2022-04-06 14:00:00,447
2022-04-06 16:00:00,477
2022-04-06 18:00:00,345
2022-04-06 20:00:00,225
2022-04-06 22:00:00,175
2022-04-07 00:00:00,1351
2022-04-07 02:00:00,5665
2022-04-07 04:00:00,4877
2022-04-07 06:00:00,197
2022-04-07 08:00:00,384
2022-04-07 10:00:00,617
2022-04-07 12:00:00,512
2022-04-07 14:00:00,486
2022-04-07 16:00:00,509
2022-04-07 18:00:00,358
2022-04-07 20:00:00,222
2022-04-07 22:00:00,176
2022-04-08 00:00:00,1357
2022-04-08 02:00:00,5696
2022-04-08 04:00:00,4874
2022-04-08 06:00:00,185
2022-04-08 08:00:00,380
2022-04-08 10:00:00,650
2022-04-08 12:00:00,554
2022-04-08 14:00:00,479
2022-04-08 16:00:00,533
2022-04-08 18:00:00,415
2022-04-08 20:00:00,289
2022-04-08 22:00:00,205
2022-04-09 00:00:00,1374
2022-04-09 02:00:00,5728
2022-04-09 04:00:00,4886
2022-04-09 06:00:00,163
2022-04-09 08:00:00,209
2022-04-09 10:00:00,287
2022-04-09 12:00:00,276
2022-04-09 14:00:00,241
2022-04-09 16:00:00,278
2022-04-09 18:00:00,253
2022-04-09 20:00:00,215
2022-04-09 22:00:00,180
2022-04-10 00:00:00,1365
2022-04-10 02:00:00,5683
2022-04-10 04:00:00,4840
2022-04-10 06:00:00,155
2022-04-10 08:00:00,168
2022-04-10 10:00:00,198
2022-04-10 12:00:00,213
2022-04-10 14:00:00,191
2022-04-10 16:00:00,198
2022-04-10 18:00:00,215
2022-04-10 20:00:00,197
2022-04-10 22:00:00,168
2022-04-11 00:00:00,1353
2022-04-11 02:00:00,5681
2022-04-11 04:00:00,4822
2022-04-11 06:00:00,197
2022-04-11 08:00:00,419
2022-04-11 10:00:00,632
2022-04-11 12:00:00,482
2022-04-11 14:00:00,460
2022-04-11 16:00:00,510
2022-04-11 18:00:00,341
2022-04-11 20:00:00,219
2022-04-11 22:00:00,208
2022-04-12 00:00:00,1366
2022-04-12 02:00:00,5717
2022-04-12 04:00:00,4898
2022-04-12 06:00:00,202
2022-04-12 08:00:00,383
2022-04-12 10:00:00,668
2022-04-12 12:00:00,561
2022-04-12 14:00:00,496
2022-04-12 16:00:00,512
2022-04-12 18:00:00,364
2022-04-12 20:00:00,231
2022-04-12 22:00:00,188
2022-04-13 00:00:00,1384
2022-04-13 02:00:00,5735
2022-04-13 04:00:00,4914
2022-04-13 06:00:00,204
2022-04-13 08:00:00,374
2022-04-13 10:00:00,619
2022-04-13 12:00:00,503
2022-04-13 14:00:00,488
2022-04-13 16:00:00,527
2022-04-13 18:00:00,362
2022-04-13 20:00:00,223
2022-04-13 22:00:00,185
2022-04-14 00:00:00,1387
2022-04-14 02:00:00,5757
2022-04-14 04:00:00,4914
2022-04-14 06:00:00,200
2022-04-14 08:00:00,383
2022-04-14 10:00:00,633
2022-04-14 12:00:00,531
2022-04-14 14:00:00,460
2022-04-14 16:00:00,485
2022-04-14 18:00:00,370
2022-04-14 20:00:00,235
2022-04-14 22:00:00,194
2022-04-15 00:00:00,1391
2022-04-15 02:00:00,5743
2022-04-15 04:00:00,4901
2022-04-15 06:00:00,190
2022-04-15 08:00:00,356
2022-04-15 10:00:00,590
2022-04-15 12:00:00,499
2022-04-15 14:00:00,422
2022-04-15 16:00:00,424
2022-04-15 18:00:00,325
2022-04-15 20:00:00,239
2022-04-15 22:00:00,186
2022-04-16 00:00:00,1386
2022-04-16 02:00:00,5739
2022-04-16 04:00:00,4907
2022-04-16 06:00:00,166
2022-04-16 08:00:00,211
2022-04-16 10:00:00,285
2022-04-16 12:00:00,272
2022-04-16 14:00:00,240
2022-04-16 16:00:00,249
2022-04-16 18:00:00,257
2022-04-16 20:00:00,216
2022-04-16 22:00:00,178
2022-04-17 00:00:00,1388
2022-04-17 02:00:00,5706
2022-04-17 04:00:00,4863
2022-04-17 06:00:00,171
2022-04-17 08:00:00,171
2022-04-17 10:00:00,204
2022-04-17 12:00:00,216
2022-04-17 14:00:00,193
2022-04-17 16:00:00,196
2022-04-17 18:00:00,215
2022-04-17 20:00:00,192
2022-04-17 22:00:00,176
2022-04-18 00:00:00,1380
2022-04-18 02:00:00,5726
2022-04-18 04:00:00,4871
2022-04-18 06:00:00,170
2022-04-18 08:00:00,181
2022-04-18 10:00:00,221
2022-04-18 12:00:00,228
2022-04-18 14:00:00,211
2022-04-18 16:00:00,208
2022-04-18 18:00:00,211
2022-04-18 20:00:00,197
2022-04-18 22:00:00,168
2022-04-19 00:00:00,1377
2022-04-19 02:00:00,5694
2022-04-19 04:00:00,4859
2022-04-19 06:00:00,193
2022-04-19 08:00:00,410
2022-04-19 10:00:00,829
2022-04-19 12:00:00,1206
2022-04-19 14:00:00,2106
2022-04-19 16:00:00,1360
2022-04-19 18:00:00,362
2022-04-19 20:00:00,224
2022-04-19 22:00:00,173
2022-04-20 00:00:00,1383
2022-04-20 02:00:00,5760
2022-04-20 04:00:00,4923
2022-04-20 06:00:00,195
2022-04-20 08:00:00,380
2022-04-20 10:00:00,625
2022-04-20 12:00:00,471
2022-04-20 14:00:00,410
2022-04-20 16:00:00,455
2022-04-20 18:00:00,345
2022-04-20 20:00:00,223
2022-04-20 22:00:00,181
2022-04-21 00:00:00,1392
2022-04-21 02:00:00,5764
2022-04-21 04:00:00,4917
2022-04-21 06:00:00,185
2022-04-21 08:00:00,381
2022-04-21 10:00:00,634
2022-04-21 12:00:00,497
2022-04-21 14:00:00,464
2022-04-21 16:00:00,477
2022-04-21 18:00:00,338
2022-04-21 20:00:00,227
2022-04-21 22:00:00,178
2022-04-22 00:00:00,1403
2022-04-22 02:00:00,5804
2022-04-22 04:00:00,4938
2022-04-22 06:00:00,192
2022-04-22 08:00:00,365
2022-04-22 10:00:00,579
2022-04-22 12:00:00,461
2022-04-22 14:00:00,419
2022-04-22 16:00:00,470
2022-04-22 18:00:00,347
2022-04-22 20:00:00,230
2022-04-22 22:00:00,174
2022-04-23 00:00:00,1388
2022-04-23 02:00:00,5754
