Time;opctyngrppub01 : Actives;anomalie
18/05/2022 18:00;319;0
18/05/2022 20:00;191;0
18/05/2022 22:00;146;0
19/05/2022 00:00;1408;0
19/05/2022 02:00;5896;0
19/05/2022 04:00;5034;0
19/05/2022 06:00;168;0
19/05/2022 08:00;375;0
19/05/2022 10:00;634;0
19/05/2022 12:00;486;0
19/05/2022 14:00;424;0
19/05/2022 16:00;454;0
19/05/2022 18:00;328;0
19/05/2022 20:00;191;0
19/05/2022 22:00;140;0
20/05/2022 00:00;1404;0
20/05/2022 02:00;5956;0
20/05/2022 04:00;5078;0
20/05/2022 06:00;165;0
20/05/2022 08:00;355;0
20/05/2022 10:00;573;0
20/05/2022 12:00;467;0
20/05/2022 14:00;467;0
20/05/2022 16:00;504;0
20/05/2022 18:00;330;0
20/05/2022 20:00;215;0
20/05/2022 22:00;148;0
21/05/2022 00:00;1412;0
21/05/2022 02:00;5932;0
21/05/2022 04:00;5065;0
21/05/2022 06:00;146;0
21/05/2022 08:00;176;0
21/05/2022 10:00;251;0
21/05/2022 12:00;235;0
21/05/2022 14:00;204;0
21/05/2022 16:00;207;0
21/05/2022 18:00;212;0
21/05/2022 20:00;170;0
21/05/2022 22:00;136;0
22/05/2022 00:00;1411;0
22/05/2022 02:00;5895;0
22/05/2022 04:00;5022;0
22/05/2022 06:00;124;0
22/05/2022 08:00;142;0
22/05/2022 10:00;162;0
22/05/2022 12:00;177;0
22/05/2022 14:00;155;0
22/05/2022 16:00;162;0
22/05/2022 18:00;171;0
22/05/2022 20:00;158;0
22/05/2022 22:00;143;0
23/05/2022 00:00;1411;0
23/05/2022 02:00;5891;0
23/05/2022 04:00;4993;0
23/05/2022 06:00;165;0
23/05/2022 08:00;419;0
23/05/2022 10:00;682;0
23/05/2022 12:00;507;0
23/05/2022 14:00;443;0
23/05/2022 16:00;466;0
23/05/2022 18:00;321;0
23/05/2022 20:00;182;0
23/05/2022 22:00;142;0
24/05/2022 00:00;1448;0
24/05/2022 02:00;12383;1
24/05/2022 04:00;14242;1
24/05/2022 06:00;179;0
24/05/2022 08:00;377;0
24/05/2022 10:00;642;0
24/05/2022 12:00;482;0
24/05/2022 14:00;479;0
24/05/2022 16:00;479;0
24/05/2022 18:00;341;0
24/05/2022 20:00;205;0
24/05/2022 22:00;156;0
25/05/2022 00:00;1410;0
25/05/2022 02:00;6609;0
25/05/2022 04:00;5656;0
25/05/2022 06:00;177;0
25/05/2022 08:00;361;0
25/05/2022 10:00;584;0
25/05/2022 12:00;441;0
25/05/2022 14:00;382;0
25/05/2022 16:00;424;0
25/05/2022 18:00;327;0
25/05/2022 20:00;201;0
